Contract Name,Type,Put/Call,Status,Maturity (Day),Maturity (BDay),Maturity (Year),Contract Size,Strike,Bid,Bid Volume,Ask,Ask Volume,Last Price,Open Price,High Price,Low Price,Close Price,Open Interest,Volume,Turnover,Implied Vol,Premium,Delta,Gamma,Vega,Theta,Rho
US.QQQ220413C384000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,384.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,147,0,0.0,487.577,13.468,0.002,0.0,0.0,-2.1,0.0
US.QQQ220413C385000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,385.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,585,0,0.0,498.615,13.763,0.002,0.0,0.0,-2.107,0.0
US.QQQ220413C386000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,386.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,209,0,0.0,509.601,14.059,0.002,0.0,0.0,-2.113,0.0
US.QQQ220413C387000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,387.0,0.0,0,0.0,0,0.02,0.02,0.0,0.0,0.02,363,0,0.0,557.869,14.357,0.004,0.0,0.0,-3.907,0.0
US.QQQ220413C388000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,388.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,148,0,0.0,531.419,14.65,0.002,0.0,0.0,-2.124,0.0
US.QQQ220413C389000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,389.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,685,0,0.0,542.253,14.945,0.002,0.0,0.0,-2.13,0.0
US.QQQ220413C390000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,390.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,402,0,0.0,553.037,15.24,0.002,0.0,0.0,-2.135,0.0
US.QQQ220413C391000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,391.0,0.0,0,0.0,0,0.19,0.19,0.0,0.0,0.19,6,0,0.0,804.263,15.589,0.024,0.002,0.001,-26.834,0.0
US.QQQ220413C392000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,392.0,0.0,0,0.0,0,0.03,0.03,0.0,0.0,0.03,35,0,0.0,642.175,15.837,0.005,0.0,0.0,-5.649,0.0
US.QQQ220413C393000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,393.0,0.0,0,0.0,0,0.03,0.03,0.0,0.0,0.03,29,0,0.0,653.826,16.133,0.005,0.0,0.0,-5.665,0.0
US.QQQ220413C394000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,394.0,0.0,0,0.0,0,0.1,0.1,0.0,0.0,0.1,1,0,0.0,770.913,16.449,0.014,0.001,0.0,-15.927,0.0
